"userID";"username";"password";"email";"address";"city";"phone"
1;"user1";"pw01";"email01@junk.com";"Street 1";"City1";"5550001"
2;"user2";"pw02";"email02@junk.com";"Street 2";"City2";"5550002"
3;"user3";"pw03";"email03@junk.com";"Street 3";"City3";"5550003"
4;"user4";"pw04";"email04@junk.com";"Street 4";"City4";"5550004"
5;"user5";"pw05";"email05@junk.com";"Street 5";"City5";"5550005"
6;"user6";"pw06";"email06@junk.com";"Street 6";"City6";"5550006"
7;"user7";"pw07";"email07@junk.com";"Street 7";"City7";"5550007"
8;"user8";"pw08";"email08@junk.com";"Street 8";"City8";"5550008"
9;"user9";"pw09";"email09@junk.com";"Street 9";"City9";"5550009"
10;"user10";"pw10";"email10@junk.com";"Street 10";"City10";"5550010"
11;"user11";"pw11";"email11@junk.com";"Street 11";"City11";"5550011"
12;"user12";"pw12";"email12@junk.com";"Street 12";"City12";"5550012"
13;"user13";"pw13";"email13@junk.com";"Street 13";"City13";"5550013"
14;"user14";"pw14";"email14@junk.com";"Street 14";"City14";"5550014"
15;"user15";"pw15";"email15@junk.com";"Street 15";"City15";"5550015"
16;"user16";"pw16";"email16@junk.com";"Street 16";"City16";"5550016"
17;"user17";"pw17";"email17@junk.com";"Street 17";"City17";"5550017"
18;"user18";"pw18";"email18@junk.com";"Street 18";"City18";"5550018"
19;"user19";"pw19";"email19@junk.com";"Street 19";"City19";"5550019"
